vd_domain,vd_addr,vd_dataset,vd_sort,ad_line1,ad_city,ad_state,ad_zip,ad_ctry,vd_cr_terms,ad_taxable,ad_tax_usage,ad_phone
AEROSTAR,10842,AEROSTAR 1,DAVID BUDD,DDDD,dD,Annaba,ddfdf,Algeria,sssds,,,434324
AEROSTAR,11052,AEROSTAR 2,Nick Kouria,,,,,USA,,0,,
AEROSTAR,50006,AEROSTAR 3,GRUPO SIRYAA S.A. DE C.V.,CALLE DE PALOS #60,PUEBLA,Lezhë District,72014,Albania,323,,,1234567
AEROSTAR,50009,AEROSTAR 4,FS Industries,P.O. Box 72659,Providence,Tasmania,2907,Australia,,,,112345
AEROSTAR,50010,AEROSTAR 5,CIM SOLUTIONS & NETWORKING,46672 MORNINGTON RD,CANTON,MI,48187,USA,,0,,734-981-7470
AEROSTAR,50011,AEROSTAR 6,Gleason Works,275 Atlantic Ave,Rochester,NY,14607,USA,,0,,1-585-461-8170
AEROSTAR,50012,AEROSTAR 7,CHRISTOPHER JONES,,,MI,,USA,,0,,
AEROSTAR,50014,AEROSTAR 8,JOSE A. RODRIGUEZ,,,,,USA,,0,,
AEROSTAR,50015,AEROSTAR 9,BIRCH COMMUNICATIONS,PO BOX 791371,BALTIMORE,MD,21279-1371,USA,,0,,
AEROSTAR,50016,AEROSTAR 10,AIM HIGH,"4F, -5 NO 297, ZHONGZHENG RD",TAIWAN,,,CH,,0,,
AEROSTAR,50017,AEROSTAR 11,Cleo Communications,PO Box 15835,Loves Park,IL,61132-5835,USA,,0,,
AEROSTAR,50019,AEROSTAR 12,Rajendra Nadkarni,,,MI,,USA,,0,,
AEROSTAR,50020,AEROSTAR 13,Phillip Milspaugh,,,MI,,USA,,0,,
AEROSTAR,50022,AEROSTAR 14,DTE Energy,P.O. Box 630795,Cincinnati,OH,45263-0795,USA,,0,,
AEROSTAR,50023,AEROSTAR 15,Ray Cassiday,,,,,USA,,0,,
AEROSTAR,50024,AEROSTAR 16,INDIANA DEPART. OF REVENUE,P.O.BOX 6077,INDIANAPOLIS,IN,46206-6077,USA,,0,,
AEROSTAR,50025,AEROSTAR 17,Law officr of James D. Eiss,19 Limestone Drive Suite 1,Buffalo,NY,14221,USA,,0,,
AEROSTAR,50026,AEROSTAR 18,RMT WOODWORTH,PO BOX 673714,DETROIT,MI,48267-3714,USA,,0,,7345-254-0566
AEROSTAR,50027,AEROSTAR 19,Blanca Duenas,,,,,USA,,0,,
AEROSTAR,50028,AEROSTAR 20,Ali Al-Atwali,,,,,USA,,0,,
AEROSTAR,50029,AEROSTAR 21,Fadel Yehya,,,,,USA,,0,,
AEROSTAR,50031,AEROSTAR 22,State of Michigan Corp.,P.O. Box 30768,Lansing,MI,48909,USA,,0,,
AEROSTAR,50032,AEROSTAR 23,GENDRIK ESCOBAR,,,,,USA,,0,,
AEROSTAR,50033,AEROSTAR 24,AHMED ABDALLA,,,,,USA,,0,,
AEROSTAR,50034,AEROSTAR 25,Ron Barnett,,,,,USA,,0,,
AEROSTAR,50035,AEROSTAR 26,CURLEANA GATSON,3813 DUDLEY STREET,DEARBORN,MI,48124,USA,,0,,
AEROSTAR,50037,AEROSTAR 27,NARENDRAKUMAR DESAI,,,,,USA,,0,,
AEROSTAR,50038,AEROSTAR 28,JAMES HAMILTON,,,,,USA,,0,,
AEROSTAR,50049,AEROSTAR 29,REED AJENE',,,,,USA,ONREC,0,,
AEROSTAR,50050,AEROSTAR 30,JASON MCCUAN,,,,,USA,ONREC,0,,
AEROSTAR,50051,AEROSTAR 31,Mike Kennedy,,,,,USA,ONREC,0,,
AEROSTAR,50053,AEROSTAR 32,CHRISTINE CHAPPELL,,,,,USA,ONREC,0,,
AEROSTAR,50057,AEROSTAR 33,MUSAED ABOALI,,,,,USA,,0,,
AEROSTAR,50058,AEROSTAR 34,MUSAED ABOALI,,,,,USA,,0,,
AEROSTAR,71823,AEROSTAR 35,Aerostar,sdasda,test,test,342342,test,543,,,32434234
AEROSTAR,1,AEROSTAR 36,12,hgf,hgf,Kavajë District,76,Albania,,,,8.68E+53
AEROSTAR,10000,AEROSTAR 37,123.NET,daad,dad,ad,752020,dad,,,,dada
AEROSTAR,10001,AEROSTAR 38,520 MACHINERY SALES LLC,1701 HOWARD STREET SUITE F,ELK GROVE VILLAGE,IL,60007,USA,N30,0,,
AEROSTAR,10002,AEROSTAR 39,A & A CALIBRATION INC,P.O. BOX 510913,LIVONIA,MI,48151,USA,N30,0,,
AEROSTAR,10003,AEROSTAR 40,A.M. CASTLE & CO/CASTLE META,sfsfsf,fsfs,fsfs,fsf,fsfs,N30,,,fsfs
AEROSTAR,10004,AEROSTAR 41,ACAL PRECISION PRODUCTS,20200 CORNILLIE DRIVE,ROSEVILLE,MI,48066-1746,USA,,0,,
AEROSTAR,10005,AEROSTAR 42,ARTHUR CHAPPELL,26067 SOUTHWESTERN HIGHWAY,REDFORD,MI,48239,USA,N10,0,,
AEROSTAR,10006,AEROSTAR 43,ACSI ASSESMENT & CONSULT SVC,SERVICES INTERNATIONAL INC. 48512 Red Oak Drive,Shelby Township,MI,48315,USA,ONREC,0,,
AEROSTAR,10007,AEROSTAR 44,ADAMS THERMAL SYSTEMS INC.,47920 5TH STREET,CANTON,SD,57013,USA,N30,0,,605-764-1103
AEROSTAR,10008,AEROSTAR 45,ADMIRAL BROACH,21391 CARLO,CLINTON TWP,MI,48038-1511,USA,N30,0,,
AEROSTAR,10009,AEROSTAR 46,ADP INC.,P.O. BOX 842875,BOSTON,MA,02284-2875,USA,N30,0,,
AEROSTAR,10010,AEROSTAR 47,ADVANCED MACHINE & ENGINEERI,35109 EAGLE WAY,CHICAGO,IL,60678-1351,USA,N30,0,,
AEROSTAR,10011,AEROSTAR 48,AEROSTAR INDIA,,,,,IND,N30,0,,
AEROSTAR,10012,AEROSTAR 49,AEROTEK COMMERCIAL STAFFING,P.O. BOX 198531,ATLANTA,GA,30384-8531,USA,N15,0,,
AEROSTAR,10013,AEROSTAR 50,AFLAC,1932 WYNNTON ROAD,COLUMBUS,GA,31999-0797,USA,N30,0,,
AEROSTAR,10014,AEROSTAR 51,AGENTS AND CORPORATION,SUITE 600 ONE COMMERCE 1201 N ORANGE ST,WILMINGTON,DE,19899-0511,USA,N30,0,,
